dataset,system,rows,columns,cow_count,missing_values,start,end,top_label,top_label_count,anomaly_rows,mean_ruminate,mean_eat,mean_graze,mean_rest,mean_walk,mean_steps
celso_diario,intensivo,3755,10,16,0,2023-07-09,2025-08-03 00:00:00,No anomaly,3643,3755,545.5903450903045,396.86347438415123,164.13341779231226,300.9051292044809,7.131601571360953,3052.307323568575
celso_horario,intensivo,720131,9,108,718750,2023-07-09,2025-09-15 23:00:00,Sin etiqueta,718750,1381,21.866702348861157,17.566584993688807,4.82994113481973,14.16469552135678,0.41759577475919285,152.5725652693746
ruibal_horario,intensivo,454296,13,93,2229260,2024-03-08,2025-08-08 23:00:00,Sin etiqueta,442563,11733,22.47550320981377,19.528974400938655,2.6343428625767538,14.06788636396986,0.28934419550776913,147.08301195696197
