algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
kmeans,2,0.2652752741828052,1.561732798993798,2251.7098039995926
kmeans,3,0.2812176809524288,1.331624639121891,2354.228178353064
kmeans,4,0.2956933990652235,1.0882129245220085,2447.2852454117406
kmeans,5,0.26397979209198136,1.1412605749382243,2434.100461879553
kmeans,6,0.24352205016645007,1.135197488843813,2352.801964491777
agglomerative,2,0.14818397341323333,1.5326131835615966,1485.3370926136963
agglomerative,3,0.16811766346389814,1.4117982423391673,1703.0858575791228
agglomerative,4,0.20690786934353572,1.242262123300771,1921.6822002380432
agglomerative,5,0.21437640518078419,1.1865151246029237,1972.5125798280337
agglomerative,6,0.1971937192679642,1.32559830744502,1930.2580194437169
gmm,2,0.2970211925553435,1.887832294858101,1257.9720599797383
gmm,3,0.22749273812780932,1.5604378564729624,1796.5502779988904
gmm,4,0.22901111089184084,1.3457052433021235,1697.0651947773338
gmm,5,0.13009452896963697,2.0805171856158013,1292.5366504887636
gmm,6,0.06751998905533077,2.1043239433325414,1169.3992514499396
