algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.18778796084413518,2.018552583590515,1243.1705823412735
kmeans,k=3,3,0,0.17606007835437484,1.8481063852201165,1113.3910732767165
kmeans,k=4,4,0,0.17674996891569894,1.6378899576607617,1006.9815514105725
kmeans,k=5,5,0,0.16133601889711768,1.5079756991050974,994.9108106488584
kmeans,k=6,6,0,0.1597279572022174,1.5316742532606014,945.029880307478
agglomerative,k=2,2,0,0.16112659363549078,2.185965277599251,1085.4141224679502
agglomerative,k=3,3,0,0.16156491491264388,1.8315072561922385,989.4220581523737
agglomerative,k=4,4,0,0.16686897629637998,1.454027893977522,896.9287595484541
agglomerative,k=5,5,0,0.16617644422550149,1.1706956913870556,839.3281306138281
agglomerative,k=6,6,0,0.17456734166054555,1.173681094739536,806.1388379938322
gmm,k=2,2,0,0.3602662749987613,2.5885670213172336,471.774291692811
gmm,k=3,3,0,0.12456566587261723,2.3797270231527143,675.5365815107893
gmm,k=4,4,0,0.12049166828809264,3.110464433635058,262.87977927974276
gmm,k=5,5,0,0.05276423570455206,2.504858919098404,409.2614472188511
gmm,k=6,6,0,0.05773518379096919,3.1756564565985923,483.1335899946028
dbscan,"eps=2.464, min_samples=5 (p50)",13,2590,-0.09845470992152328,0.9270959923903596,60.93936244601183
dbscan,"eps=2.916, min_samples=5 (p75)",10,1188,-0.009257135153782254,0.8726935784250113,57.19556752410733
dbscan,"eps=3.566, min_samples=5 (p90)",6,448,0.2527476411864411,0.6496646742855888,98.65059962974968
dbscan,"eps=2.692, min_samples=10 (p50)",3,2198,0.1032832033038726,1.1539255135424626,29.144636945783766
dbscan,"eps=3.201, min_samples=10 (p75)",5,985,0.0867397711905766,0.9095992279486028,23.046369753167163
dbscan,"eps=3.955, min_samples=10 (p90)",2,359,0.4790651312502832,0.6370568162250564,93.32982910823382
