algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3457662761211395,1.1645850462291991,4120.628899404926
kmeans,k=3,3,0,0.42269158363342285,0.7899341892217526,6511.783590013621
kmeans,k=4,4,0,0.3780396580696106,0.8819622661963695,6020.135105373772
kmeans,k=5,5,0,0.3676927387714386,0.9396324950778991,5863.123602690055
kmeans,k=6,6,0,0.37096214294433594,0.8382142373767932,6013.681170105211
agglomerative,k=2,2,0,0.33322587609291077,1.1092865594480712,3562.2024442609454
agglomerative,k=3,3,0,0.3645919859409332,0.8905211141393549,5169.940947365514
agglomerative,k=4,4,0,0.3378545641899109,0.8753446600301075,4747.407300462431
agglomerative,k=5,5,0,0.33607903122901917,0.8515521560604487,4752.415695146009
agglomerative,k=6,6,0,0.33244189620018005,0.8703343912379952,5212.877790636942
gmm,k=2,2,0,0.3404155969619751,1.142022519834534,4027.063497183003
gmm,k=3,3,0,0.41427233815193176,0.7999559149339724,6262.9458816820415
gmm,k=4,4,0,0.3710000216960907,0.8868636016827729,5721.251185175659
gmm,k=5,5,0,0.3401354253292084,1.0503405714407268,4924.790621488505
gmm,k=6,6,0,0.35656294226646423,0.8482220425990853,5696.251923234037
dbscan,"eps=0.086, min_samples=5 (p50)",336,2255,0.43449869751930237,0.5830348887798903,9310.077790655923
dbscan,"eps=0.111, min_samples=5 (p75)",166,771,0.02169896848499775,0.814299794388177,1442.9969689409659
dbscan,"eps=0.140, min_samples=5 (p90)",45,212,-0.5669524073600769,1.1724103604399483,74.73992381186079
dbscan,"eps=0.136, min_samples=10 (p50)",134,1667,0.3327079117298126,0.6359226916012647,5321.054487166377
dbscan,"eps=0.166, min_samples=10 (p75)",48,480,-0.42263883352279663,1.001978996180897,125.78812670001226
dbscan,"eps=0.199, min_samples=10 (p90)",23,127,-0.5191988945007324,0.9700820194212142,84.64105870899172
